CHAPEDES  5864  5933     1    2016_08_03
*---  ad hoc run min and max
*---  Made with pedestal run 5864 ( run 5864, 2016-08-03 )
*---  
  5  78      0    400.14   2.78209
  5  79      0   399.965   3.33614
  5  80      0   400.211    2.3629
  5  81      0   402.424   2.91828
  5  82      0   401.492    2.5528
  5  83      0   400.023   2.59909
  5  84      0   399.805    2.6761
  5  85      0   400.996   2.38882
  5  86      0   401.018   2.64972
  5  87      0   400.301   2.66012
  5  88      0   401.078   2.64813
  5  89      0   400.444   2.85193
  5  90      0   400.539   2.84563
  5  91      0   399.369   2.73209
  5  92      0   400.454   2.96838
  5  93      0   399.965   2.67898
  5  94      0   400.719   2.68178
  5  95     99         0         0
  5  96     99         0         0
  5  97     99         0         0
  5  98     99         0         0
  5  99     99         0         0
  5 100     99         0         0
  5 101     99         0         0
  5 102     99         0         0
  5 103     99         0         0
  5 104     99         0         0
  5 105     99         0         0
  5 106     99         0         0
  5 107     99         0         0
  5 108     99         0         0
  5 109     99         0         0
  5 110     99         0         0
  5 111     99         0         0
  5 112     99         0         0
  5 113     99         0         0
  5 114     99         0         0
  5 115     99         0         0
  5 116     99         0         0
  5 117     99         0         0
  5 118     99         0         0
  5 119     99         0         0
  5 120     99         0         0
  5 121     99         0         0
  5 122     99         0         0
  5 123     99         0         0
  5 124     99         0         0
  5 125     99         0         0
  5 126     99         0         0
  5 127     99         0         0
  6   0     99         0         0
  6   1     99         0         0
  6   2     99         0         0
  6   3     99         0         0
  6   4     99         0         0
  6   5     99         0         0
  6   6     99         0         0
  6   7     99         0         0
  6   8     99         0         0
  6   9     99         0         0
  6  10     99         0         0
  6  11     99         0         0
  6  12     99         0         0
  6  13     99         0         0
  6  14     99         0         0
  6  15     99         0         0
  6  16     99         0         0
  6  17     99         0         0
  6  18     99         0         0
  6  19     99         0         0
  6  20     99         0         0
  6  21     99         0         0
  6  22     99         0         0
  6  23     99         0         0
  6  24     99         0         0
  6  25     99         0         0
  6  26     99         0         0
  6  27     99         0         0
  6  28     99         0         0
  6  29     99         0         0
  6  30     99         0         0
  6  31     99         0         0
  6  32      0    399.58   3.12132
  6  33      0   400.419   2.80651
  6  34      0   399.875   2.63304
  6  35      0   400.139   2.54428
  6  36      0   399.485   2.39446
  6  37      0   398.948   2.68268
  6  38      0   399.716     2.753
  6  39      0   400.459    2.6358
  6  40      0   399.802   2.74038
  6  41      0   400.133   2.65837
  6  42      0   400.292   2.85613
  6  43      0   400.059   2.68204
  6  44      0    399.98   2.72309
  6  45      0   400.712    2.7447
  6  46      0   399.878   2.83605
  6  47      0   401.367    2.7424
  6  48      0    400.45   3.68589
  6  49      0   400.851   3.20822
  6  50      0   399.464   3.62847
  6  51      0   399.445   3.41684
  6  52      0   399.477   3.14184
  6  53      0   399.891   2.88994
  6  54      0   402.397   3.10325
  6  55      0   400.542   3.55791
  6  56      0   399.378   2.67079
  6  57      0   400.216    2.6265
  6  58      0   400.158   2.63431
  6  59      0   398.967    2.7336
  6  60      0   399.458   2.64548
  6  61      0   402.224   2.71924
  6  62      0   399.026   2.67546
  6  63      0   400.023   2.94648
  6  64      0   401.169   2.68546
  6  65      0   399.765    2.7292
  6  66      0   398.099     2.587
  6  67      0   400.475   2.69841
  6  68      0   399.719   2.54081
  6  69      0   399.296   2.74148
